"item_id","source_path","source_lines","meaningful_claim_or_task","controlling_authority","canonical_destination","related_ids","implementation_status","proof_status","conflict_or_overlap","final_disposition"
"HANDOFF-001",".handoff/README.md","3-4","LifeOS is a member of the FlexNetOS Meta workspace.","Current Meta and LifeOS AGENTS contracts","/home/flexnetos/meta/AGENTS.md; /home/flexnetos/meta/src/lifeos/AGENTS.md","STRUCTURE-005; STRUCTURE-006","implemented-current-topology","repository path and Git identity","Historical path wording is superseded by the current Meta peer-root contract.","merged-and-archived"
"HANDOFF-002",".handoff/README.md","7-8","Git outranks a witnessed ledger, which outranks task cards.","Current owner instructions and Planning Spine authority order","consolidation/README.md; navigation/README.md; 06_PROOF_LEDGER.md","STORE-001; ARCHBP-046","superseded-authority-model","legacy text hash only","Incomplete because it omitted owner contracts and the immutable anchors.","replaced-and-archived"
"HANDOFF-003",".handoff/README.md","9-11","Planning lives on a KB board; local cards and packets are derived views.","Current LifeOS AGENTS and navigation fallback contract","navigation/README.md; generated/task_graph.source.csv; generated/execution_packets/","GRAPH-002; ARCHBP-022; ARCHBP-046","repository-native-planning-active","navigation and generator checks","GitKB remains useful task context, but the repository-native Planning Spine is the active durable fallback and `.handoff` is not a projection owner.","merged-corrected-and-archived"
"HANDOFF-004",".handoff/context/capsule.json","3-4","LifeOS is a Vue 3 and Tauri 2 application with portable Rust core and daemon crates.","Current LifeOS AGENTS and checked repository","AGENTS.md; README.md; Cargo.toml","LIFEOS-001; ARCHBP-043","current-framework-retained","repository source and build gates","Historical dashboard/command counts are not promoted because they were not re-proven by this consolidation.","merged-qualified-and-archived"
"HANDOFF-005",".handoff/context/capsule.json","5-7","Knowledge and planning must survive session resets.","Current mandatory ICM and repository-native navigation contracts","navigation/README.md; proof_records/proof_ledger.jsonl; ICM operating contract","GRAPH-002; ARCHBP-022","implemented-as-repository-navigation-plus-ICM","navigation and ICM receipts","The old knowledge-docs plane is replaced by named canonical sources, proof, navigation projections, and ICM rather than a parallel handoff directory.","merged-and-archived"
"HANDOFF-006",".handoff/context/capsule.json","8-9","Re-plan via a KB task before continuing.","Current Meta GitKB task contract with repository-native fallback","/home/flexnetos/meta/.kb; navigation/README.md","ARCHBP-022","GitKB-task-created; repository-fallback-active","GitKB task commit plus navigation checks","The command is no longer a universal front door because committed GitKB context may be absent or stale.","replaced-and-archived"
"HANDOFF-007",".handoff/hooks/hooks.toml","1-6,12-115","An hf lifecycle-hook contract should automate session, edit, test, merge, checkpoint, and handoff events.","Current installed agent runtime and repository operating contracts","AGENTS.md; /home/flexnetos/.codex/config.toml; ICM operating contract","ARCHBP-022; ARCHBP-027","legacy-hook-runtime-retired","exact archived bytes; no active hf runtime proof","The hook inventory is historical and must not be inferred active merely from cached source.","superseded-and-archived"
"HANDOFF-008",".handoff/hooks/hooks.toml","8-10,20-42,54-115","Missing hf policy/drift/session verbs were represented by HFTASK task IDs.","Current canonical LifeOS task graph","generated/task_graph.source.csv; 08_EXECUTION_GATES.md","ARCHBP-022; ARCHBP-027; ARCHBP-046","legacy-HFTASK-ids-historical-only","exact archived bytes","No HFTASK row is silently imported as current work; applicable policy, proof, and database-control requirements are covered by current stable tasks.","superseded-deduplicated-and-archived"
"HANDOFF-009",".handoff/hooks/loop-entry.sh","1-27","SessionStart should discover hf and resume a compact packet.","Current agent frontdoor, mandatory ICM recall, and Planning Spine navigation","navigation/README.md; /home/flexnetos/.codex/AGENTS.rtk.md","GRAPH-002; ARCHBP-022","obsolete-executable-retired","exact archived bytes","The script depended on an unowned hf binary and a retired `.handoff` surface.","superseded-and-archived"
"HANDOFF-010",".handoff/hooks/loop-entry.sh","29-65","A ledger-selected next task should invoke an autonomous handoff loop.","Current owner task, GitKB task context, canonical task graph, and execution gates","generated/task_graph.source.csv; generated/execution_packets/; 08_EXECUTION_GATES.md","GRAPH-003; ARCHBP-046","replaced-by-bounded-task-graph","task and packet generators","Automatic continuation cannot override the current user request or owner/contracts authority.","replaced-and-archived"
"HANDOFF-011",".handoff/hooks/session-end.sh","1-34","SessionEnd should checkpoint, export, synchronize, hand off, and reap through hf.","Current proof ledger, Git hygiene, ICM store, and repository-owned verification","06_PROOF_LEDGER.md; AGENTS.md; navigation/README.md","GRAPH-004; ARCHBP-046","legacy-executable-retired","exact archived bytes","The useful continuity intent is preserved, but the hf command chain is not an active owned runtime.","merged-intent-superseded-mechanism-and-archived"
"HANDOFF-012",".handoff/hooks/session-end.sh","36-61","Session end should locate envctl and reap worktrees/branches.","Current Meta/GitHub branch-hygiene contract and profile ownership","/home/flexnetos/meta/AGENTS.md; /home/flexnetos/meta/src/lifeos/AGENTS.md","ARCHBP-028; ARCHBP-046","policy-retained-command-retired","exact archived bytes","Cleanup remains required when GitHub work is in scope, but an archived hook must not perform it implicitly.","merged-policy-superseded-mechanism-and-archived"
