"capture_id","claim_id","classification","verification_status","confidence","installed_runtime_proven","meta_ruvector_policy","evidence_count","conclusion","proof_uri"
"NBSOURCE-030","INGEST-CLAIM-001","current-implementation-claim","qualified","96","TRUE","not-used","22","A narrower Rust-only implementation is proven, but the claim is materially overbroad and assigns ownership imprecisely. At nu_plugin commit 9451b20e42d79f72d4fa5b2a190a39bd1d9d5e5a, Nushell is the plugin host/table cockpit; Rust code recursively enumerates the selected root, selects files classified as Rust source, reads them as UTF-8, parses them with syn, and emits syntax-only rows including functions and structs. Cargo dependency rows are obtained separately by invoking `cargo metadata --format-version 1`, not mapped from the Rust AST. The active profile-owned CodeDB 0.1.0 binary reproduced the function/struct rows and captured real symlink metadata, but it also traversed `.git` (437 rows) and `target` (13,738 rows), so ignored/generated boundaries are classified rather than excluded. Polyglot AST support remains documented as candidates/planning, not current implementation. The complete required fixture corpus was not executable under the strict no-write constraint because there is no committed malformed-Rust fixture and the dependency fixture has no Cargo.lock while the product's metadata command lacks `--locked`; therefore the exact broad claim is qualified, not verified.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","INGEST-CLAIM-002","current-implementation-claim","refuted","98","FALSE","reference-only","17","Current primary evidence contradicts the exact implementation claim. The current nu_plugin_codedb surface declares Type::Nothing input, every inspected command run method ignores `_input`, and the plugin crate has no codedb-store-redb/redb dependency; it produces native Nushell table values from repository/path arguments instead of receiving structured blocks. The pinned redb 4.1.0 writer exists in a separate codedb CLI path and persists `(relative_path, bytes)` batches scanned from the filesystem. Existing redb tests cover durable byte batches, checkpoint resume, future-schema refusal, and writer contention, but there is no plugin-output-to-redb call path or structured-block schema to replay. Installed profile ownership also keeps separate `codedb` and `nu_plugin_codedb` binaries; binary probes found redb writer symbols only in `codedb`, while the plugin contains the explicit text `redb store is not implemented until CDB015`. No write-producing fixture/test command was run because this pass was strictly read-only.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","INGEST-CLAIM-003","current-implementation-claim","refuted","97","FALSE","not-used","18","Current primary evidence contradicts the asserted envctl pipeline. Envctl's contract forbids reading CodeDB redb internals; its default-off semantic module reads exported JSONL rows that already contain embedding_minilm vectors and builds only an in-memory HNSW index. No tracked caller of SemanticIndex was found. Envctl's ruvector-postgres dependency is an optional, default-off server-side extension, explicitly not a PostgreSQL client. A separate CodeDB implementation in the nu_plugin repository can capture raw file bytes directly to either redb or PostgreSQL through alternative BlobStore backends, but its PostgreSQL table explicitly omits the optional embedding column and its parity test independently writes the same fixture to both stores rather than transferring redb blocks to PostgreSQL. No envctl redb-to-PostgreSQL call path, embedding-generation owner/model, transaction receipt, or repeat/recovery run exists in the inspected evidence. Installed behavior was not proven: envctl is absent from PATH and from /home/flexnetos/.nix-profile/bin; only a source-build symlink exists under /home/flexnetos/meta/usr/bin, which is not an active profile frontdoor.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","INGEST-CLAIM-004","architecture-proposal","qualified","96","FALSE","not-used","15","The core statement is proven only as captured source framing: NBSOURCE-030 presents parser, redb buffer, and redb-to-PostgreSQL bridge atoms and summarizes them as a Phase 1 three-step flat-file-to-database proposal. It is not yet a committed, accepted, or implemented pipeline. Reconciliation against the committed graph is: (1) flat files -> AST blocks: FOUNDATION-001 must pin the sole parser/runtime package owner and POSTGRES-004 must define a read-only, bounded collector with stable source identity, byte/metadata hashes, AST schema, provenance, ordering, checkpoints, failure recovery, and lossless reconstruction; gate on a pinned parser plus deterministic fixture corpus and failure receipts. (2) AST blocks -> redb staging: require a versioned block schema, exact record hashes, ordered/idempotent writes, deduplication, crash replay, recovery source, and an explicit transient-versus-durable authority decision; gate on ordered/duplicate/malformed/interrupted/concurrent fixtures and STORE-001/PGAUTH-002 owner approval. This stage is not adequately represented by the claim's four aggregate refs and instead appears in adjacent draft tasks PGAUTH-002, POSTGRES-006, STORE-001, and the INGEST-CLAIM-002 queue row. (3) redb -> embedded PostgreSQL: require selected-record identity, pinned embedding model/configuration, transactional row/vector receipts, provenance, repeat/recovery behavior, and one-way authority into PostgreSQL; gate on a bounded transaction test, vector dimension/hash receipts, and deterministic round-trip projection. POSTGRES-008 is specifically the reverse database-to-directory projection contract, not the forward ingestion bridge, so POSTGRES-005/006/009 and PGAUTH-004 are also needed for the complete bridge/round-trip. Final gate: owner-reviewed pipeline graph, committed stage contracts, fixture-based end-to-end proof, explicit acceptance, then LIFEOS-011 only after all child proofs pass. All four canonical aggregate tasks are currently Draft and their planned artifacts/proofs are absent.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","INGEST-CLAIM-005","architecture-proposal","qualified","96","FALSE","not-used","13","Current local canonical records support the narrow statement that NBSOURCE-030 was captured and normalized as proposing a flat-file-to-database-hosted codebase representation. They do not establish that the proposal is implementable. The canonical claim row explicitly calls it a source-only proposal without a canonical file manifest, byte-level round trip, or ownership decision; the verification row remains queued; all four referenced implementation/policy tasks are Draft; and every named task-family, plan, acceptance, and proof artifact for POSTGRES-004, POSTGRES-008, POSTGRES-009, and PGAUTH-004 is absent. In addition, the exact 810-byte source fulltext is identified and hashed but not retained in the inspected workspace, so the semantic wording is independently evidenced only through the canonical normalized capture, not through locally reviewable raw source text.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","PERF-CLAIM-001","performance-claim","refuted","98","FALSE","not-used","17","Refuted as a claim about the current or installed implementation. At nu_plugin HEAD 9451b20 and at the Yazelix-locked installed-source revision 532a461, nu_plugin_codedb has no codedb-store-redb/redb dependency and its scan/import commands return Nushell rows; the source and tests characterize the plugin surface as read-only. A real durable redb write exists, but in the separate codedb CLI/codedb_store_redb path, where persist_batch performs the transaction and commit. No benchmark target, benchmark dependency, percentile metric, warm/cold protocol, sync-mode matrix, concurrency matrix, or failure-injection latency result exists. Thus there is neither an exact plugin-to-redb operation nor primary benchmark evidence supporting microsecond latency.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","AUTH-CLAIM-001","authority-claim","refuted","97","FALSE","not-used","23","The exact authority claim is refuted by current local primary evidence. PostgreSQL is an implemented optional direct CodeDB backend, but envctl is not the synchronizing writer in that path: CodeDB selects either redb (the default durable backend) or PostgreSQL and calls the selected backend's persist_batch directly. The PostgreSQL implementation performs its own INSERT/ON CONFLICT transaction into the dedicated codebase_codedb table and deliberately avoids the production codebase table. Envctl manages the PostgreSQL/RuVector component lifecycle and consumes already-embedded CodeDB export rows into an in-memory index; the inspected envctl path neither generates those embeddings nor writes ingested blocks/embeddings to PostgreSQL. The planning graph expresses a future PostgreSQL macro-authority/projection design, but every canonical task cited by this claim is Draft, the required authority artifacts are absent, and the claim queue remains queued with Ready empty.

Authority matrix (current evidence):
Layer | Authorized write trace | Denied, absent, or unproven trace
file | CodeDB materialization may emit derived files from a selected store. | Capture is read-only on the scanned tree; source files are not an authorized capture write target.
redb | Default CodeDB capture target; persist_batch commits each batch durably. Envctl separately owns a migration-ledger redb, not an ingestion bridge. | Redb is not proven to be merely transient, and no redb-to-envctl-to-PostgreSQL flush path was found.
envctl | Starts/stops/verifies the PostgreSQL/RuVector component and builds an in-memory semantic index from exported rows that already carry vectors. | No current block-ingestion DML writer, embedding generator, or redb-to-PostgreSQL synchronizer was found. Reverse synchronization from projections is explicitly forbidden by the Draft PGAUTH-004 target contract.
embedding | Existing embedding_minilm values from CodeDB export may be loaded into envctl's in-memory RuVector index. | The inspected envctl path skips rows without vectors and does not generate or persist embeddings; CodeDB PgStore's current DML omits an embedding column.
PostgreSQL | CodeDB may directly select PgStore and UPSERT raw file blobs in one transaction into a dedicated table. | It is not proven as the sole/permanent authority: redb remains a durable default, PgStore avoids production codebase, the owner-approved authority contract is missing, and no installed write trace was permitted or available.

Authorized current trace: source file --fs::read--> CodeDB capture --open selected backend--> redb persist_batch/commit OR PgStore INSERT...ON CONFLICT/commit. Denied or absent claimed trace: source/redb --envctl read+embed+sync--> PostgreSQL. Planned target trace (not current proof): PostgreSQL branch/version --envctl one-way projection--> disposable directory/build input; reverse writes from projection to canonical state are forbidden.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","QUESTION-CLAIM-001","question-claim","verified","100","FALSE","not-used","8","Verified at the exact question-claim scope. The local raw NBSOURCE-030 fulltext asks: ""Would you like to move on to Phase 2 (Edge Execution) next, or should we look closer at how to configure one of these specific ingestion tools?"" The canonical claim table classifies this as a question-claim, and queue row NBV-365 preserves it as queued with the required action to obtain a separately recorded owner decision before any phase advancement or configuration work. The queue resolution and proof_uri are blank, so the question grants no execution authority and no advancement/configuration decision is currently recorded.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-030","PROVENANCE-CLAIM-001","source-provenance-claim","verified","100","TRUE","not-used","14","Current primary NotebookLM runtime evidence verifies the exact claim and every required provenance field. With explicit notebook selection, source get returned source aa7c6940-c8a9-4a26-8120-7f9092f6db08 in notebook b09afb74-b464-4bc3-94f0-d5193f7c7d36, title ""The Three Pillars of Code Ingestion"", type markdown, and status ready. Explicit fulltext retrieval returned kind markdown; the UTF-8 content is exactly 810 bytes with SHA-256 5be7cc69c29db15c613ba3ed58c0025fcb75e805701a51f9a49c68498532dec9. The literal retrieval command actually run was: notebooklm source fulltext aa7c6940-c8a9-4a26-8120-7f9092f6db08 --notebook b09afb74-b464-4bc3-94f0-d5193f7c7d36 --json. This matches the committed LifeOS registry and proof record. One non-claim discrepancy remains: the registry records line_count=1 while the current retrieved content has 17 logical splitlines; byte count, hash, identity, title, kind, and ready status are unaffected.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-001","architecture-proposal","qualified","99","FALSE","not-used","17","Qualified, not verified as written. Current envctl implements a narrower deterministic filesystem-to-catalog and catalog-to-generated-config projection, including path-traversal refusal and repeatable output hashes. It does not currently select a PostgreSQL branch/version or reconstruct arbitrary database-hosted source files. The NotebookLM statement is retained only as a target architecture relationship under POSTGRES-008/009, not current behavior.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-002","authority-claim","refuted","96","FALSE","not-used","18","At envctl commit fd3d423fff767b4b96f67fdc46a8aac93da21559, the implemented `catalog render` path does not query PostgreSQL or select a production branch. CLI dispatch calls `Engine::catalog_render`, which calls `catalog::render`; `render` builds its snapshot by scanning repo/manifest files and the in-memory Registry, then writes deterministic projections. The current render request/report has no branch identity, database version, selector authority, authorization, audit-event, or rollback fields. PostgreSQL material found locally is limited to an optional, default-off server-side RuVector extension declaration and separate health/embedding-count psql probes; neither participates in projection. LifeOS primary tables explicitly mark the NotebookLM wording as source-only/unverified and queued, while POSTGRES-008 remains a Draft definition task. No matching integration test exists in current test directories, and no installed `envctl` binary/profile entry was available, so installed behavior was not proven. Owner decision and the complete selection/authorization/pinning/failure/audit/rollback contract remain absent.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-003","current-implementation-claim","refuted","99","FALSE","not-used","22","Current primary evidence contradicts the claim. In envctl, the only tracked use of `module_path` is the default-off RuVector semantic consumer: it parses exported JSONL and stores `module_path` as an HNSW vector id/metadata, not as an in-memory directory tree. The actual file reconstruction implementation is owned by CodeDB in the independent `nu_plugin` repository: `codedb materialize` lists stored `SourceFileRow.relative_path` rows, joins each path directly to `out_dir`, and writes files to disk. PostgreSQL happens to store that relative path in its `module_path` column, but the materializer is CodeDB, not envctl, and it does not reconstruct an exact directory structure in memory. The broader exact-reconstruction wording is also false: there is no materialization-time path normalization or traversal/absolute-path refusal; duplicate keys update/overwrite rather than refuse; directories are inferred only as file parents (empty directories are not restored); symlinks are capture gaps; batch capture records no file mode; and tests cover checksum/byte round trips, one executable-bit case, and backend path/hash parity, not exact whole-tree reconstruction. CodeDB export rows that name envctl as a possible materialization owner are declarative (`runtime_status=declared`) and have no current envctl consumer. Relevant tracked source files had empty diffs. During the read-only pass, unrelated concurrent changes appeared under envctl `home/.claude/`; `nu_plugin` already had untracked `.claude/`. No repository or runtime was edited by this verification.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-004","current-implementation-claim","refuted","98","FALSE","not-used","25","Current primary evidence contradicts the claim. envctl has no raw_code block schema, block identity, ordering key, concatenation path, or Rust-file projection. Its current catalog is explicitly an in-memory/file-first bridge whose renderer emits a fixed set of generated catalog/config files (including two TOML projections, but no Rust source), and its optional CodeDB semantic consumer deserializes only module_path plus embedding_minilm while ignoring extra fields. The exact-byte file materializer found in the workspace belongs to CodeDB/nu_plugin, and it restores whole SHA-256-addressed source blobs rather than concatenating raw_code blocks. CodeDB's exported envctl integration records say envctl's role is declared/downstream; they do not implement the consumer in envctl. Existing envctl tests cover deterministic fixed catalog projections and secret redaction for catalog environment rows, not raw-block reconstruction, duplicate/partial-block behavior, encoding, transactional failure cleanup, or Rust/TOML byte parity. No profile-owned envctl frontdoor exists; an explicit workspace-owned binary was inspected read-only and exposed catalog tables with zero codedb_file_imports rows for the envctl repo.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-005","architecture-proposal","qualified","99","FALSE","not-used","22","Qualified, not verified as an end-to-end handoff. Current envctl separately supports deterministic catalog rendering and build-system detection/execution, including a generic Nix-flake build command. Yazelix separately exposes a profile-owned Nix package interface. No current call path connects a selected database projection to that build path, so the full projected-directory-to-Yazelix/Nix claim remains target architecture rather than installed behavior.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-006","question-claim","verified","100","FALSE","not-used","15","Verified strictly as a question-claim from the exact 752-byte staged fulltext. Line 16 asks whether to test the workflow or revisit a phase. The question creates no implementation, readiness, owner decision, or execution authority.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-031","ENVPROJ-CLAIM-007","source-provenance-claim","verified","99","FALSE","not-used","7","Verified as a source-provenance/absence claim. The exact locally retained retrieved fulltext is 752 bytes with 16 logical lines and SHA-256 26779f9766b49a775a56fdf33ae1ef1d55134179923876a62e0d430cfe3588b6. Its technical assertions at lines 3-15 repeatedly use the combined citation marker [1, 2], while the complete file at lines 1-16 contains no bibliography, reference identities, links, versions, or exact cited passages. The exact primary references and passages for [1] and [2] are therefore recorded unavailable in this read-only/no-web pass. No citation target was inferred and no later NotebookLM repetition was used as proof.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-001","current-implementation-claim","qualified","98","TRUE","not-used","19","Only the narrower implementation statement is proven: the profile-owned Yazelix runtime ships a pinned Rust-native Nushell plugin and a read-only transient invocation through `/home/flexnetos/.nix-profile/bin/yzx` successfully executed `codedb tables`. Current agent use is not proven. The active HOME Nushell `plugin list` returned `[]`; generated Yazelix Nushell initializers contain no CodeDB registration/use; searches of active Codex/agent configuration found no agent-to-native-plugin command path; and the repository's Codex bridge directs agents to bounded CLI/MCP calls instead. Therefore the source's broad current-use wording cannot be verified as written.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-002","current-implementation-claim","qualified","94","TRUE","not-used","23","Current local primary evidence proves the narrower concrete statement that `nu_plugin_codedb` is a Rust-native Nushell plugin binary: Cargo declares it as a Rust `bin`, its Rust entrypoint implements `nu_plugin::Plugin` and calls `serve_plugin(..., MsgPackSerializer)`, Nix builds and tests it through `rustPlatform.buildRustPackage` with a locked Cargo graph, and the active profile resolves it through the profile-owned Yazelix foundation closure to a verified ELF containing a rustc 1.95.0 marker. The installed binary SHA-256 is `149537bbba39583451d0c33c0313d7a40b618b41b5fa4fcdaefd3b7a613c5127`; its package NAR hash is `sha256-hctmPEcqDD3AS4cJfQSudDAb1LdlolsY0V9tplwFKfg=` and `nix-store --verify-path` succeeded. Qualification is required because NBSOURCE-032 never enumerates the plural set of ""referenced Nushell plugins"", so only `nu_plugin_codedb` could be provenance-resolved. Also, the active profile is pinned through Yazelix/Yazi assets to nu_plugin commit `532a461...`, while current nu_plugin source is `9451b20...`; the relevant Cargo target, Rust entrypoint, and Nix build definition are unchanged, but Cargo.lock changed. The generated tree under `~/.local/share/yazelix` has no codedb/plugin materialization, and no independent clean rebuild was performed in this read-only pass.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-003","engine-fact","qualified","97","TRUE","not-used","23","The concrete profile-owned `nu_plugin_codedb` path is proven to use MessagePack: Yazelix pins FlexNetOS/nu_plugin commit 532a461841316a6623701f9e206b97cafa994d40; that commit pins Nushell plugin/protocol crates 0.113.1 and calls `serve_plugin(&CodeDbPlugin, MsgPackSerializer)`. The locally cached Nushell source at upstream commit 9c05da49a89c8e7a898be3f712536087a415002a specifies the engine/plugin protocol, implements MessagePack encode/decode, and contains in-memory round-trip fixtures. The active profile resolves both `nu` and `nu_plugin_codedb`; `nu --version` is 0.113.1. A live `--stdio` capture began with the length-prefixed `msgpack` encoder name and decoded to `Hello { protocol: nu-plugin, version: 0.113.1 }`; an isolated installed-Nu invocation then completed a shell-to-plugin-to-shell command round trip and returned a structured CodeDB row. Qualification is required because Nushell 0.113.1 supports both JSON and MessagePack encoders, and NBSOURCE-032 does not identify the broader plural set of 'referenced Nushell plugins'; current primary evidence proves the profile-owned CodeDB plugin, not every unnamed plugin.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-004","performance-claim","qualified","97","FALSE","reference-only","23","Qualified for the pinned serializer path, not the entire plugin protocol. The active profile-owned CodeDB plugin is proven to use Nushell 0.113.1 MsgPackSerializer. A reproducible 200-run benchmark over 1,000 representative structured rows measured MessagePack at p50 355,011 ns versus JSON at p50 3,385,076 ns (0.1049x), with p95 ratio 0.1232x, p99 ratio 0.1151x, and output size ratio 0.8407x. This supports the narrower characterization that the pinned MessagePack serializer is materially faster and smaller for this workload; it does not establish whole-protocol end-to-end optimization.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-005","current-implementation-claim","qualified","98","TRUE","not-used","18","A narrower statement is verified: the active Yazelix/Nix profile contains nu_plugin_codedb 0.1.0 and Nushell 0.113.1, and a live transient invocation returns typed Nushell table values with pinned command signatures. The asserted streaming/agent architecture is not implemented or proven. Current first-party commands implement SimplePluginCommand, build complete Vec<Row> collections, convert them to Value::list, and paginate only after collection; pinned nu-plugin 0.113.1 then consumes any input stream and wraps the result as PipelineData::value rather than PipelineData::ListStream. No agent-identified producer-consumer trace, backpressure test, stream-ordering test, or mid-stream failure receipt exists in the inspected first-party source/tests. Live checks proved typed tables, schema, deterministic pagination order, and fail-closed invalid pagination, but not streaming. Therefore the source wording is materially broader than current implementation evidence.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-006","current-implementation-claim","qualified","96","FALSE","not-used","24","Current pinned primary evidence proves a narrower statement, not the source wording as written. The installed/source CodeDB plugin selects MsgPack, and Nushell's pinned plugin framework can decode owned PluginInput messages and represent ListStream/ByteStream pipeline data with acknowledgement-based message-count backpressure. However, every CodeDB command is implemented through SimplePluginCommand: the framework explicitly fully consumes any input stream into an owned Value before the command runs, and CodeDB eagerly collects output rows into Value::List before MsgPack serialization. The implementation therefore proves in-memory materialization behind a streaming-capable protocol, not an end-to-end 'streamed directly into memory' or zero-copy/bounded-memory path. No allocation/copy profile, lifetime-ownership test, or bounded-memory failure test exists locally, so the broader/direct wording remains unverified.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-007","performance-claim","refuted","99","FALSE","reference-only","20","Refuted for the claimed current Yazelix/Nushell architecture. The active profile contains the native CodeDB plugin but exposes no vectorizer, embedding model, RVF/AgentDB/RuVector runtime, or vectorization command in the plugin closure/config/generated surfaces. Current CodeDB plugin commands produce typed rows and do not vectorize them. Reference-only meta-ruvector material contains multiple provider choices and no claim-scoped installed benchmark, so the assertion that this in-memory path is instantly vectorized is false for the current installed architecture.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-008","current-implementation-claim","qualified","98","FALSE","reference-only","34","Qualified by a narrower local capability, not by the claimed native Nushell/Yazelix path. The handoff peer deterministically maps ledger events to 384-dimensional hash-based pseudo-embeddings and best-effort writes them to a gitignored .handoff/ledger.db.rvf sidecar; a concrete local artifact exists. The active profile-owned CodeDB plugin has no RVF writer or vectorizer, and its capture backends are redb or PostgreSQL. meta-ruvector was inspected only as a read-only format/writer reference and was never built, tested, executed, or modified.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-009","current-implementation-claim","qualified","94","FALSE","not-used","23","A narrower current-source statement is proven: envctl commit fd3d423fff767b4b96f67fdc46a8aac93da21559 contains a default-OFF `ruvector` semantic adapter that reads `embedding_minilm` vectors keyed by `module_path`, constructs pinned `ruvector-core` 2.2.3 `VectorDB`, and calls `insert`; that pinned package enables its redb-backed `storage` feature by default and writes bincode-encoded `Vec<f32>` values to redb table `vectors` under the vector ID in one committed write transaction. The broad source claim is not fully verified as deployed LifeOS behavior: the envctl feature is off by default, no installed envctl frontdoor was found, the active profile `codedb` runtime exposes source-blob tables rather than a vector table, no current dynamic transaction/crash trace was permitted under the hard read-only/no-generated-files constraint, and the required synchronization/authority decision remains Draft with its expected decision/proof artifacts absent. Thus 'vectors can be written to redb' is source-backed for a pinned optional adapter, but redb authority, installed activation, crash/replay guarantees, and whole-system synchronization are unresolved.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-010","comparison-claim","qualified","93","TRUE","not-used","24","The narrow protocol statement is verified, but the source's unbounded wording is not. Current source pins the Nushell plugin boundary to MsgPackSerializer, and an installed-runtime strace captured the encoder preamble `\7msgpack` plus binary MessagePack Call/CallResponse frames; a live negative comparison also showed that plugin `--format json` and `--format csv` both return the same native Nushell table shape, so those flags do not turn the plugin protocol payload into JSON text. However, there is no single current plugin-command-to-store path: plugin scan/export commands return native Values and ignore their signature-only `--store` option, while durable persistence is a separate `codedb capture` CLI path. That CLI passes `(String, Vec<u8>)` batches directly into BlobStore; redb inserts byte slices directly, but PostgreSQL separately constructs JSON text for its metadata jsonb column. In addition, plugin envctl-db compatibility commands explicitly request `--json` and parse JSON, import commands consume JSON artifacts, and CLI exports optionally serialize rows to JSON. Therefore 'no JSON text' is supportable only for the Nushell protocol payload and raw blob-content persistence, not for the whole command/store/export/compatibility surface. Required serializer-level instrumentation and a current pinned machine call graph remain absent, so verified would overstate the evidence.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-011","question-claim","verified","99","TRUE","not-used","22","Verified strictly as a question-claim. The locally retained exact fulltext asks, on line 7, whether to explore how Yazelix and Nushell initialize in the background once a portable release folder is launched; SHA-256, byte count, source ID, and notebook ID match the validated packet. This wording neither asserts that such initialization exists nor authorizes portable-release execution. The separate installed-runtime trace proves the current narrower profile-owned runtime: Yazelix source defines packages.x86_64-linux.lifeos_foundation_yzx, the Nix profile resolves /home/flexnetos/.nix-profile/bin/yzx to /nix/store/rd29...-lifeos-foundation-yzx/bin/yzx, relevant installed launch scripts are hash-identical to current source, generated Nushell config links the packaged config with /home/flexnetos/.config/yazelix/shell_nu.nu, and a live Mars -> Zellij -> yzx/yzx_control -> Nushell tree uses /home/flexnetos/.local/share/yazelix. That runtime evidence does not prove that the Nix store output is the source's undefined 'portable release folder,' and the full failure/shutdown/rollback lifecycle remains unproven.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-012","question-claim","verified","100","FALSE","not-used","10","Verified strictly as a question-claim. The current local primary capture contains the exact source question, ""or is there another part of the workflow you would like to review?"", which supports the atomic statement that the reader is asked to select another workflow topic. The question grants no task priority, readiness, authority, or execution permission. Canonical handling therefore remains: retain it as a question and select work only through the canonical owner-directed task mechanism. No follow-on workflow was selected in this pass: no explicit owner direction linked to a committed canonical task was supplied, the canonical ready_task_ids list is empty, NBVERIFY-000 is complete, and POSTGRES-009 remains Draft with prerequisites.","proof_records/NBVERIFY-030-032.proof.json"
"NBSOURCE-032","YNP-CLAIM-013","source-provenance-claim","verified","100","FALSE","not-used","11","Verified as a citation-provenance absence claim from the exact 647-byte staged fulltext. Lines 2 and 6 contain citation markers [1, 2], while the complete seven-line object contains no bibliography, source identities, versions, or cited passages. The missing citation targets verify no technical claim.","proof_records/NBVERIFY-030-032.proof.json"
