capability,source_repo,source_commit_or_pr,current_path,ci_receipt,boundary,known_gap,target_lifeos_owner,disposition,parity_gate
BlobStore trait,nu_plugin,PR#13/#14 (master d7cc4d8),crates/codedb_core (BlobStore),logs/CDB106 PASS; tests/blobstore_parity.rs,content-addressed blob abstraction over redb+pg,typed proof-artifact receipt not bound,lifeos codedb store,adopt,blobstore_parity.rs (13 tests)
redb source-blob store,nu_plugin,PR#13,"crates/codedb_store_redb (1761 ln, 14 tests)",logs/CDB106; store_migrations,local durable blob store; schema-versioned backup/restore,STORE-001 role undecided,lifeos codedb store,adopt,test_redb_lifecycle.nu
PgStore (PostgreSQL parity),nu_plugin,PR#16/#18,"crates/codedb_store_pg (1281 ln, tests/fail_closed.rs+blobstore_parity.rs)",CDB106 PG17 integration 13 passed,dual-backend parity store,current-head dual-backend receipt absent,lifeos postgres store (POSTGRES-004/005),adopt,test_mandatory_pg_parity.py
Resumable capture / SHA-256 identity,nu_plugin,PR#14,"crates/codedb_core (capture_source_metadata, workspace_identity)",CDB106,exact-byte source capture with stable identity,-,lifeos codedb ingestion,adopt,captured_metadata_json_projection_is_stable
Exact-byte materialization,nu_plugin,PR#16,"crates/codedb_core (tests/materialization_paths.rs, 7 tests)",CDB106,fail-closed materialization + symlink limits,multi-OS lanes are Linux-fallback rows only,lifeos codedb materialization,adopt,materialization_paths.rs
Secret-output guards,nu_plugin,PR#13,crates/codedb_core/capture_policy.rs + tests/secret_classifier.rs,CDB106; test_security_no_leak.nu,policy redaction of secret-like sources,-,lifeos secret boundary,adopt,test_plugin_secret_guard.nu
Bounded read-only MCP,nu_plugin,PR#19,"crates/codedb_mcp (1764 ln, tests/policy_and_stdio.rs 24 tests)",CDB106 24 MCP tests,"row/byte budget, pagination, source guard, no-mutation",-,lifeos codedb MCP surface,adopt,policy_and_stdio.rs
envctl export contract,nu_plugin,PR#19,crates/codedb (envctl_export_rows); docs/ENVCTL_EXPORT_CONTRACT.md,logs/CDB035-envctl-export.log,codedb->envctl runtime integration export,-,lifeos envctl bridge,adopt,CDB035 export validation
Compiler-observed evidence (HIR/MIR/rustdoc),nu_plugin,master,crates/codedb_rust_static (CompilerEvidenceOptions),compiler_observed_tests.rs 2/2 (real rustc -Zunpretty),semantic + public-API hashing,gate tests use FAKE rustc; production trusted compiler/build broker unbuilt,lifeos codedb compiler lane,extend,compiler_observed_tests.rs
Sandboxed build/proc-macro capture,nu_plugin,master,"crates/codedb_build_capture (5503 ln, 38 tests)",CDB106 dynamic capture round-trip,approval-gated build/OUT_DIR capture,positive approved-execution receipts unbound,lifeos codedb build broker,extend,capture_approved_fixture_build
Replayable migration engine,envctl,package status_report complete; crates/engine/migration_db,"envctl crates/engine (DbSnapshot, migration_db)",package proof_records; db_parity.rs,declarative migration plan/apply,package proof != product runtime proof; current-head runtime receipt absent,lifeos migration engine,adopt,envctl crates/engine tests
Catalog blob metadata,envctl,ADR-0003 catalog-first,envctl crates/engine (catalog),package proof,catalog-first control plane,runtime receipt absent,lifeos catalog,adopt,catalog tests
Secrets engine / secretd / secretctl,envctl,PR#440/#450,envctl crates/ (secrets engine),package + merged PR proof,external secret provisioning,raw secret values never captured as evidence; live runtime proof separate,lifeos secret authority (external),adopt,secretd provisioning runbook
Remote libSQL store,envctl,PR#467,envctl crates/ (libSQL store),merged PR proof,remote durable store,STORE-001 role undecided,lifeos external store (subordinate),defer,STORE-001
PostgreSQL-RuVector component,envctl,PR#470-472 (#103 armed then disarmed),envctl RuVector component; meta-ruvector,T4 GREEN (TASK-0089); #103 disarmed,pg + ruvector semantic component,BLOCKED by operator-freeze of meta-ruvector (TASK-0089),lifeos postgres+ruvector (POSTGRES-005),defer,STORE-001 + operator unfreeze
Semantic consumer,envctl,PR#471/#472,envctl semantic consumer + ext-skew,merged PR proof,semantic query consumer,runtime parity proof separate,lifeos intelligence substrate (INTEL-*),defer,STORE-001
envctl db code-graph surface (roots/query/refactor),envctl,GH#414 (issue-414),"envctl crates/{cli,gui,engine} db*.rs",db_parity.rs; issue-414 merged,agent-first code-graph over multi-root,symbols/deploy/watch unwired; impact/widgets absent,lifeos envctl-db surface,extend,db_parity.rs
Final store authority (redb vs PG+RuVector vs CodeDB),nu_plugin+envctl,-,"(decision, not code)",-,which store owns which state family,owner decision not made,lifeos STORE-001,defer,STORE-001 owner approval
